last_name,first_name,player_id,year,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,FIELD16
Grisham, Trent,663757,2022,0.204,0.354,0.28,0.295,0.302,0.15,0.333,0.358,88.3,15.1,8.1,
Vierling, Matt,663837,2022,0.279,0.408,0.285,0.327,0.331,0.129,0.321,0.379,91.2,12,5,
Rivas III, Alfonso,663845,2022,0.219,0.308,0.285,0.281,0.309,0.09,0.356,0.349,86.9,4.9,4.2,
Rodgers, Brendan,663898,2022,0.265,0.404,0.321,0.326,0.33,0.139,0.354,0.361,90,4.6,7.2,
Lowe, Nathaniel,663993,2022,0.275,0.459,0.368,0.344,0.333,0.184,0.453,0.419,90.2,8.2,9.9,
Happ, Ian,664023,2022,0.239,0.379,0.339,0.306,0.315,0.14,0.408,0.359,89.7,10.9,6.5,
France, Ty,664034,2022,0.262,0.398,0.337,0.321,0.33,0.136,0.364,0.343,87.6,10.1,5.4,
Lowe, Brandon,664040,2022,0.237,0.401,0.306,0.32,0.322,0.164,0.347,0.368,89.4,16.6,10.3,
Bader, Harrison,664056,2022,0.234,0.321,0.286,0.27,0.279,0.088,0.329,0.307,83.4,16.7,3.4,
Fletcher, David,664058,2022,0.285,0.344,0.275,0.295,0.317,0.059,0.276,0.299,82.1,15,0,
Haggerty, Sam,664059,2022,0.23,0.33,0.32,0.285,0.313,0.1,0.399,0.344,86,13.6,4,
Moore, Dylan,664238,2022,0.202,0.36,0.338,0.322,0.35,0.158,0.407,0.378,87.2,20.7,12.9,
Straw, Myles,664702,2022,0.236,0.301,0.257,0.275,0.306,0.065,0.254,0.278,87,9.8,0.7,
Isbel, Kyle,664728,2022,0.22,0.323,0.265,0.266,0.273,0.102,0.33,0.33,89.7,10.6,4.9,
Higgins, P.J.,664731,2022,0.205,0.287,0.306,0.264,0.29,0.081,0.366,0.3,86,8.7,3.4,
Bohm, Alec,664761,2022,0.29,0.436,0.31,0.333,0.327,0.146,0.353,0.383,90.2,10.4,6.8,
Wade Jr., LaMonte,664774,2022,0.221,0.407,0.298,0.321,0.317,0.187,0.315,0.349,87.7,21.1,9.5,
Zavala, Seby,664874,2022,0.207,0.326,0.323,0.283,0.295,0.119,0.432,0.362,88.8,22.7,9.2,
Brown, Seth,664913,2022,0.251,0.454,0.323,0.338,0.324,0.203,0.404,0.426,89.2,15.8,13,
McCarthy, Jake,664983,2022,0.249,0.357,0.337,0.298,0.31,0.108,0.399,0.343,87.4,8,4.8,
